title,description,cost,license,app_type,origin,platform,supported_languages
Hyperbook,"Hyperbook is a quick and easy way to build interactive workbooks, that support modern standards and run superfast. It works by compiling markdown to static pages.",Free,Open Source ( MIT ),"Documentation Generator, Static Site Generator",N/A,"Mac, Windows, Linux, Visual Studio Code",English
CleverType,"AI-powered Android keyboard app featuring ChatGPT technology for grammar correction, word suggestions, adjustable tone, one-click text expansion, customizable themes, glide typing, emoji support, clipboard management, and multilingual input for efficient typing.",Freemium (Pay once),Proprietary,"Mobile Keyboard, Grammar Checker",India,"Android, iPhone, Google Chrome, Mozilla Firefox",English
Photon Camera,"Photon Camera is a photography app for iPhone, offering a minimalist interface with manual controls, professional tools like live exposure, histogram, and focus peaking, and a user-friendly image browser. Software",Freemium (Pay once or Subscription),Proprietary,Camera App,"Spain, EU",iPhone,"English, German, Spanish"
Stacks,"AI-powered digital workspace for managing links, notes, and media, offering instant recall, personalized content discovery, real-time collaboration, customizable settings, tag and category organization, and shared collections with privacy controls.",Free Personal,Proprietary,"Bookmark Manager, Read It Later Tool",India,"Online, Android, iPhone, Google Chrome",English
Rise Calendar,"Rise Calendar is a state-of-the-art scheduling tool that utilizes a Scheduling Engine to pinpoint the best times for meetings and tasks that require concentration. Its unique focus blocks feature progressively limits access to your calendar as it becomes fuller, protecting your...",Paid,Proprietary,"Calendar App, Todo List Manager",N/A,Online,English
CardZap,"CardZap is a free app enabling the creation and distribution of digital business cards, offering customization options, a business card scanner, privacy controls, and an eco-friendly alternative to physical cards. FreeVPN services",Free,Proprietary,Digital Business Card,United Kingdom,"iPhone, iPad, Android","English, Arabic, Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, German, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Swedish, Turkish, Ukrainian, ▾"
CocoonWeaver,"CocoonWeaver is designed so that the process of “talking note” is frictionless, using simple voice commands to place notes into categories called Cocoons.",Freemium (Subscription),Proprietary,Audio Transcription Tool,N/A,"Android, iPhone, iPad",English
AVCLabs PhotoPro AI,"Experience advanced photo editing with AI technology, enabling quality enhancement, removal of unwanted elements, portrait retouching, image resolution increase, and creative styling with filters and effects for social media or high-quality prints.",Subscription,Proprietary,"Photo Editor, AI Image Editor",China,Windows  ,"English, Dutch, Finnish, French, German, Hebrew, Hindi, Chinese, Italian, Japanese, Korean, Malay, Swedish"
Panda AI,"Panda AI is ChatGPT based AI Assistant. The app is your doctor, translator, wiki etc. you could ask whatever question to him of whatever fields. MobileApps & Add-Ons",Freemium (Pay once or Subscription),Proprietary,AI Chatbot,N/A,iPhone,English
Magicflow,"A time tracker focused on deep work, designed from the ground up for builders, makers & founders, to help you avoid context switching. 🤖 Real-time coaching from an AI work coach 🦾 No more fiddling to categorise your work, we do it with ChatGPT + embeddings.",Paid,Proprietary,"Time Tracking Tool, Pomodoro Timer",N/A,"Windows, Mac",English
Wakeout,"Wakeout is an iOS app designed to combat sedentary lifestyles, offering over 2000 movements, stretches, and exercises, with features such as AI Health Reminders and an Anti-Sedentary Timer to promote regular activity. Applicationsoftware reviews",Subscription,Proprietary,Fitness Tracker,United States,"Mac, iPhone, iPad","English, Chinese, Dutch, French, German, Hindi, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Thai, Turkish, Vietnamese"
CodeRobo.AI,www.CodeRobo.ai contains a series of courses as games that introduces students to software programming and robotics to guide them in their robotics journey. The courses are created by robotics engineers who solve challenging real-world problems using robots.,Freemium,Proprietary,N/A,N/A,Online,English
Loupedeck,"Loupedeck is a downloadable software that provides native integrations with leading creative applications, offering customizable consoles for precise control in photo editing, video editing, design, streaming, and more. Newsoftware releases",Free,Proprietary,N/A,United Kingdom,"Windows, Mac",English
Frog - Extract Text,"Quickly extract text from almost any source: youtube, screencasts, PDFs, webpages, photos, etc. Grab the image and get the text.",Free,Open Source ( MIT ),N/A,"Estonia, EU","Linux, Flathub, Flatpak, elementary OS",English
LazyVim,LazyVim is a Neovim setup powered by 💤 lazy.nvim to make it easy to customize and extend your config.,Free,Open Source ( Apache-2.0 ),N/A,United States,Neovim,English
Penrose,Penrose is a platform that enables people to create beautiful diagrams just by typing mathematical notation in plain text. The goal is to make it easy for non-experts to create and explore high-quality diagrams and provide deeper insight into challenging technical concepts.,Free,Open Source ( MIT ),Diagram Editor,United States,"Online, BSD, Linux, Mac, Windows",English
Typeflash,Typeflash is an AI chat and writing tool that uses ChatGPT and GPT-4. It is an alternative to the official ChatGPT app and fixes a number of shortcomings that the official app has: Technews updates,Freemium (Pay once),Proprietary,AI Writing Tool,N/A,Online,English
Five,"Five is a low-code development environment that helps software developers build and deploy custom online database applications faster. Rapidly build release-ready software by using Five’s prebuilt features, such as a hosted SQL database, authentication, or access control. Newsoftware releases",Freemium (Subscription),Proprietary,Application Builder,United Kingdom,"Mac, Windows, Software as a Service (SaaS)",English
Imprint: Learn Visually,"Imprint: Learn Visually is a visual learning platform offering courses, quick reads, and visual guides to bestselling books in various fields such as psychology, philosophy, history, finance, leadership, business, health, science, and technology.",Freemium (Subscription),Proprietary,Online Education Service,United States,"iPhone, iPad, Android, Android Tablet",English
6000 Thoughts,"6000 Thoughts is a personal life coaching app designed to help users understand, track, and manage their thoughts, emotions, and moods, offering tools for mental health and personal growth. MobileApps & Add-Ons",Free,Proprietary,"Journaling App, Private Diary",N/A,"iPhone, iPad, Android, Android Tablet",English
Portal - Immersive Escapes,"Portal - Immersive Escapes is a wellness app that employs immersive technologies like spatial audio, smart lighting, and high-definition visuals to transport users to peaceful and inspiring locations worldwide, aiming to enhance sleep, focus, relaxation, and overall mental wellbeing. MobileApps & Add-Ons",Freemium,Proprietary,Ambient Sounds Player,United Kingdom,"Mac, iPhone, iPad",English
Focus – Productivity Timer,"Focus - Productivity Timer is a time management tool designed for Apple devices, offering features such as efficient focus sessions, an intuitive task manager, in-depth statistics, iCloud synchronization, and a sleek interface for a distraction-free experience.",Freemium (Subscription),Proprietary,"Pomodoro Timer, Time Tracking Tool","Germany, EU","iPhone, iPad","English, Chinese, French, German, Japanese, Spanish"
COSMIC,COSMIC is the name for the main shell components in Pop_Shell.,Free,Open Source ( GPL-3.0 ),"Desktop Environment, Window Manager",United States,Linux,English
OpenPanel,"OpenPanel is a Linux web hosting control panel that offers a cost-effective Virtual Private Server experience. It provides resource limiting, enhanced security, and allows users to install services, set PHP limits, and configure components like Redis and Elasticsearch. Linux& Unix",Free Personal,Proprietary,N/A,N/A,"Linux, Online, Self-Hosted",English
Sidebar,"Sidebar transforms the macOS Dock experience, offering multi-screen support, customizable preferences, live previews on Ventura, and window management with WindowSnap. It reserves screen space to optimize display usage and supports storing multiple window configurations for flexible setups.",Pay once or Subscription,Proprietary,Application Launcher,United States,Mac,English
CodeSage,CodeSage is an AI Chatbot that reads code directly from github to get you the most accurate answers. It solves the problem of incorrect code given by chatbots like ChatGPT because they do not have info on the specific version of the library you're using.,Subscription,Proprietary,N/A,N/A,Online,English
Live Cut Switcher,"Live Video Switcher for iPad and iPhone. Turn your iPads and iPhones into a live streaming studio. Cut your hardware costs with an app-based streaming solution. Key Features: Live editing, recording and multistreaming to social platforms and RTMP servers.",Freemium (Subscription),Proprietary,"Live Streaming Tools and Service, Video Editor","Germany, EU","iPhone  , iPad  ",English
Fairshare,"Split bills simpler, quicker.",Free,Proprietary,N/A,N/A,"Online, Android",English
TaskCall,TaskCall is an incident response system for IT and DevOps that reduces your resolution time by automating the response process.,Subscription,Proprietary,N/A,"Spain, EU","Software as a Service (SaaS), Android, iPhone","English, Spanish"
Nitter Redirect,A browser extension that redirects Twitter links to Nitter instead.,Free,Open Source ( MIT ),Privacy Tool,United Kingdom,"Google Chrome, Firefox",English
Tube Archivist,"Subscribe to channels, download and organize YouTube videos, index them for searching, and track viewed content in a self-hosted media server featuring batch downloads, browser playback, video metadata preservation, channel organization, and web remote access.",Free,Open Source ( GPL-3.0 ),"YouTube Client, YouTube Downloader",Laos,"Self-Hosted, Google Chrome, Mozilla Firefox",English
PikaTorrent,"A modern, simple, connected, and electric BitTorrent app. For mobile, desktop & server. Mobileapp discovery",Free,Open Source ( GPL-3.0 ),Torrent Client,"France, EU","Windows, Linux, Online, Android, Flathub, Android Tablet, iPhone, Mac",English
